AAPL_x,AAPL_y
1/2/2014,77.44539475
1/3/2014,77.04557544
1/6/2014,74.89697204
1/7/2014,75.856461
1/8/2014,75.09194679
1/9/2014,76.20263178
1/10/2014,75.2301837
1/13/2014,73.84891755
1/14/2014,75.0113527
1/15/2014,77.14481412
1/16/2014,77.33058367
1/17/2014,76.85652616
1/21/2014,75.39394758
1/22/2014,76.7763823
1/23/2014,76.64038513
1/24/2014,77.20512022
1/27/2014,76.66007339
1/28/2014,70.90497216
1/29/2014,70.23598702
1/30/2014,70.03463724
1/31/2014,69.00470795
2/3/2014,70.04050186
2/4/2014,70.50025256
2/5/2014,70.599595
2/6/2014,71.50652865
2/7/2014,73.09834283
2/10/2014,72.71181988
2/11/2014,74.38994589
2/12/2014,75.2743945
2/13/2014,74.9602296
2/14/2014,76.05688873
2/18/2014,76.55140204
2/19/2014,76.37468597
2/20/2014,74.7279776
2/21/2014,74.69710728
2/24/2014,73.34314093
2/25/2014,74.21622457
2/26/2014,73.40762211
2/27/2014,72.50368071
2/28/2014,74.17817422
3/3/2014,73.38154805
3/4/2014,74.44635193
3/5/2014,74.43810354
3/6/2014,74.69600358
3/7/2014,74.46113283
3/10/2014,74.07111203
3/11/2014,75.07027178
3/12/2014,74.93559065
3/13/2014,75.35199472
3/14/2014,74.13480798
3/17/2014,73.98459392
3/18/2014,73.7289236
3/19/2014,74.62019501
3/20/2014,74.28682958
3/21/2014,74.57820913
3/24/2014,75.48205234
3/25/2014,75.92068662
3/26/2014,76.62498351
3/27/2014,75.70890299
3/28/2014,75.47469806
3/31/2014,75.5990936
4/1/2014,75.39461719
4/2/2014,76.03616773
4/3/2014,75.90452792
4/4/2014,75.68018051
4/7/2014,74.02790571
4/8/2014,73.62532898
4/9/2014,73.27327651
4/10/2014,74.39941392
4/11/2014,72.7644772
4/14/2014,73.1708442
4/15/2014,72.94387096
4/16/2014,72.62541762
4/17/2014,72.897474
4/21/2014,73.65263437
4/22/2014,74.06474967
4/23/2014,74.17426241
4/24/2014,79.66168695
4/25/2014,79.14119558
4/28/2014,80.30519282
4/29/2014,83.23767089
4/30/2014,83.08750733
5/1/2014,82.99289917
5/2/2014,83.04635189
5/5/2014,82.73311868
5/6/2014,84.3659999
5/7/2014,83.449361
5/8/2014,82.92665266
5/9/2014,82.40901903
5/12/2014,82.82714134
5/13/2014,83.46187012
5/14/2014,83.516998
5/15/2014,83.83894399
5/16/2014,82.98805242
5/19/2014,84.28974015
5/20/2014,85.22180467
5/21/2014,85.13035972
5/22/2014,85.51554663
5/23/2014,85.61005813
5/27/2014,86.82546553
5/28/2014,88.25336036
5/29/2014,88.51837168
5/30/2014,89.94207773
6/2/2014,89.37862849
6/3/2014,88.59990714
6/4/2014,89.8695301
6/5/2014,91.09787905
6/6/2014,91.62042691
6/9/2014,91.483127
6/10/2014,93.48368488
6/11/2014,92.89646175
6/12/2014,92.80705602
6/13/2014,90.98790535
6/16/2014,90.30905531
6/17/2014,91.09697763
6/18/2014,91.05881862
6/19/2014,91.07433595
6/20/2014,90.64769552
6/23/2014,90.12358031
6/24/2014,89.55380483
6/25/2014,89.02197543
6/26/2014,89.18693839
6/27/2014,89.62525984
6/30/2014,90.89089637
7/1/2014,92.29
7/2/2014,92.63486842
7/3/2014,92.43474742
7/7/2014,92.90402626
7/8/2014,95.00793917
7/9/2014,94.1893448
7/10/2014,92.52683502
7/11/2014,94.10816215
7/14/2014,94.59776879
7/15/2014,95.53059169
7/16/2014,95.69111732
7/17/2014,93.78457514
7/18/2014,92.39063645
7/21/2014,93.74625186
7/22/2014,93.44052365
7/23/2014,94.16331104
7/24/2014,95.75986808
7/25/2014,95.58074639
7/28/2014,96.53575439
7/29/2014,98.0275432
7/30/2014,97.14618849
7/31/2014,95.87943933
8/1/2014,93.65612192
8/4/2014,95.09971859
8/5/2014,94.10684609
8/6/2014,93.50276432
8/7/2014,94.14628493
8/8/2014,93.48395187
8/11/2014,94.48592562
8/12/2014,95.24942378
8/13/2014,95.3589675
8/14/2014,96.53139487
8/15/2014,97.09066136
8/18/2014,97.67554054
8/19/2014,98.58924699
8/20/2014,99.61107288
8/21/2014,99.74008252
8/22/2014,99.46843762
8/25/2014,100.9479319
8/26/2014,100.5856398
8/27/2014,100.1891295
8/28/2014,100.755422
8/29/2014,102.0170498
9/2/2014,102.2119748
9/3/2014,102.255943
9/4/2014,98.03397371
9/5/2014,97.99139133
9/8/2014,98.48225905
9/9/2014,98.2609899
9/10/2014,97.20457129
9/11/2014,99.58834664
9/12/2014,100.3737183
9/15/2014,101.960247
9/16/2014,98.97872298
9/17/2014,100.4325635
9/18/2014,101.0888447
9/19/2014,101.449066
9/22/2014,100.9639224
9/23/2014,99.77669525
9/24/2014,101.3166152
9/25/2014,99.67815061
9/26/2014,97.71828883
9/29/2014,97.84195885
9/30/2014,99.97950571
10/1/2014,99.75834241
10/2/2014,98.45517117
10/3/2014,98.62148163
10/6/2014,99.12728368
10/7/2014,98.61442228
10/8/2014,97.94679762
10/9/2014,100.7057276
10/10/2014,99.86032959
10/13/2014,100.4975123
10/14/2014,99.56654785
10/15/2014,97.16647324
10/16/2014,94.76582693
10/17/2014,96.70139244
10/20/2014,97.51183641
10/21/2014,102.1754914
10/22/2014,101.991238
10/23/2014,103.2261528
10/24/2014,104.3103307
10/27/2014,103.982152
10/28/2014,104.5310474
10/29/2014,105.7756568
10/30/2014,106.0801645
10/31/2014,107.1199176
11/3/2014,107.3297075
11/4/2014,108.4637716
11/5/2014,108.1980158
11/6/2014,108.1703956
11/7/2014,108.3210256
11/10/2014,108.5892493
11/11/2014,108.2739198
11/12/2014,108.947396
11/13/2014,111.363978
11/14/2014,112.7040594
11/17/2014,113.8188946
11/18/2014,113.4959626
11/19/2014,114.9869783
11/20/2014,114.4555369
11/21/2014,117.0458925
11/24/2014,116.3870522
11/25/2014,118.60425
11/26/2014,117.4741866
11/28/2014,118.7986564
12/1/2014,118.3453741
12/2/2014,113.054436
12/3/2014,115.2907142
12/4/2014,115.318909
12/5/2014,115.5361261
12/8/2014,113.6533452
12/9/2014,109.7554968
12/10/2014,113.9603314
12/11/2014,111.8174772
12/12/2014,110.0271393
12/13/2014,111.0271393
12/14/2014,112.0271393
12/15/2014,113.0271393
12/16/2014,114.0271393
12/17/2014,115.0271393
12/18/2014,116.0271393
12/19/2014,117.0271393
12/20/2014,118.0271393
12/21/2014,119.0271393
12/22/2014,120.0271393
12/23/2014,121.0271393
12/24/2014,122.0271393
12/25/2014,123.0271393
12/26/2014,124.0271393
12/27/2014,125.0271393
12/28/2014,126.0271393
12/29/2014,127.0271393
12/30/2014,128.0271393
12/31/2014,129.0271393
1/1/2015,130.0271393
1/2/2015,131.0271393
1/3/2015,132.0271393
1/4/2015,133.0271393
1/5/2015,134.0271393
1/6/2015,135.0271393
1/7/2015,136.0271393
1/8/2015,137.0271393
1/9/2015,138.0271393
1/10/2015,139.0271393
1/11/2015,140.0271393
1/12/2015,141.0271393
1/13/2015,142.0271393
1/14/2015,143.0271393
1/15/2015,144.0271393
1/16/2015,145.0271393
1/17/2015,146.0271393
1/18/2015,147.0271393
1/19/2015,148.0271393
1/20/2015,149.0271393
1/21/2015,150.0271393
1/22/2015,151.0271393
1/23/2015,152.0271393
1/24/2015,153.0271393
1/25/2015,154.0271393
1/26/2015,155.0271393
1/27/2015,156.0271393
1/28/2015,157.0271393
1/29/2015,158.0271393
1/30/2015,159.0271393
1/31/2015,160.0271393
2/1/2015,161.0271393
2/2/2015,162.0271393
2/3/2015,163.0271393
2/4/2015,164.0271393
2/5/2015,165.0271393
2/6/2015,166.0271393
2/7/2015,167.0271393
2/8/2015,168.0271393
2/9/2015,169.0271393
2/10/2015,170.0271393
2/11/2015,171.0271393
2/12/2015,172.0271393
2/13/2015,173.0271393
2/14/2015,174.0271393
2/15/2015,175.0271393
2/16/2015,176.0271393
2/17/2015,177.0271393
2/18/2015,178.0271393
2/19/2015,179.0271393
2/20/2015,180.0271393
2/21/2015,181.0271393
2/22/2015,182.0271393
2/23/2015,183.0271393
2/24/2015,184.0271393
2/25/2015,185.0271393
2/26/2015,186.0271393
2/27/2015,187.0271393
2/28/2015,188.0271393
3/1/2015,189.0271393
3/2/2015,190.0271393
3/3/2015,191.0271393
3/4/2015,192.0271393
3/5/2015,193.0271393
3/6/2015,194.0271393
3/7/2015,195.0271393
3/8/2015,196.0271393
3/9/2015,197.0271393
3/10/2015,198.0271393
3/11/2015,199.0271393
3/12/2015,200.0271393
3/13/2015,201.0271393
3/14/2015,202.0271393
3/15/2015,203.0271393
3/16/2015,204.0271393
3/17/2015,205.0271393
